question_id	question	predicted	gold	hardness	exact_match	select_match_gold	select_match_pred	select_match	select_match (no_agg)_gold	select_match (no_agg)_pred	select_match (no_agg)	where_match_gold	where_match_pred	where_match	where_match (no op)_gold	where_match (no op)_pred	where_match (no op)	group (NO HAVING)_gold	group (NO HAVING)_pred	group (NO HAVING)	group_gold	group_pred	group	order_gold	order_pred	order	and_or_gold	and_or_pred	and_or	IUEN_gold	IUEN_pred	IUEN	keywords_gold	keywords_pred	keywords	
11	Show all countries and the number of singers in each country.	SELECT singer.Country, Count(*) FROM singer GROUP BY singer.Country	SELECT country ,  count(*) FROM singer GROUP BY country	medium	OK	2	2	OK	2	2	OK	0	0	NA	0	0	NA	1	1	OK	1	1	OK	0	0	NA	1	1	OK	0	0	NA	1	1	OK	
12	How many singers are from each country?	SELECT singer.Country, Count(*) FROM singer GROUP BY singer.Country	SELECT country ,  count(*) FROM singer GROUP BY country	medium	OK	2	2	OK	2	2	OK	0	0	NA	0	0	NA	1	1	OK	1	1	OK	0	0	NA	1	1	OK	0	0	NA	1	1	OK	
13	List all song names by singers above the average age.	SELECT singer.Song_Name FROM singer WHERE singer.Age > (SELECT Avg(singer.Age) FROM singer)	SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer)	hard	OK	1	1	OK	1	1	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	1	1	OK	
14	What are all the song names by singers who are older than average?	SELECT singer.Song_Name FROM singer WHERE singer.Age > (SELECT Avg(singer.Age) FROM singer)	SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer)	hard	OK	1	1	OK	1	1	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	1	1	OK	
15	Show location and name for all stadiums with a capacity between 5000 and 10000.	SELECT stadium.Location, stadium.Name FROM stadium WHERE stadium.Capacity BETWEEN 'terminal' AND 'terminal'	SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000	medium	OK	2	2	OK	2	2	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	1	1	OK	
16	What are the locations and names of all stations with capacity between 5000 and 10000?	SELECT stadium.Location, stadium.Name FROM stadium WHERE stadium.Capacity BETWEEN 'terminal' AND 'terminal'	SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000	medium	OK	2	2	OK	2	2	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	1	1	OK	
17	What is the maximum capacity and the average of all stadiums ?	SELECT Max(stadium.Capacity), Avg(stadium.Average) FROM stadium	select max(capacity), average from stadium	medium	NOK	2	2	NOK	2	2	OK	0	0	NA	0	0	NA	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	0	0	NA	
18	What is the average and maximum capacities for all stadiums ?	SELECT Avg(stadium.Average), Max(stadium.Capacity) FROM stadium	select avg(capacity) ,  max(capacity) from stadium	medium	NOK	2	2	NOK	2	2	NOK	0	0	NA	0	0	NA	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	0	0	NA	
19	What is the name and capacity for the stadium with highest average attendance?	SELECT stadium.Name, stadium.Capacity FROM stadium ORDER BY stadium.Average Desc LIMIT 1	SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1	medium	OK	2	2	OK	2	2	OK	0	0	NA	0	0	NA	0	0	NA	0	0	NA	1	1	OK	1	1	OK	0	0	NA	3	3	OK	
20	What is the name and capacity for the stadium with the highest average attendance?	SELECT stadium.Name, stadium.Capacity FROM stadium ORDER BY stadium.Average Desc LIMIT 1	SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1	medium	OK	2	2	OK	2	2	OK	0	0	NA	0	0	NA	0	0	NA	0	0	NA	1	1	OK	1	1	OK	0	0	NA	3	3	OK	
21	How many concerts are there in year 2014 or 2015?	SELECT Count(*) FROM concert WHERE concert.Year = 'terminal' OR concert.Year = 'terminal'	SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015	medium	OK	1	1	OK	1	1	OK	2	2	OK	2	2	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	2	2	OK	
22	How many concerts occurred in 2014 or 2015?	SELECT Count(*) FROM concert WHERE concert.Year = 'terminal' OR concert.Year = 'terminal'	SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015	medium	OK	1	1	OK	1	1	OK	2	2	OK	2	2	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	2	2	OK	
23	Show the stadium name and the number of concerts in each stadium.	SELECT stadium.Name, Count(*) FROM stadium JOIN concert GROUP BY stadium.Stadium_ID	SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id	medium	OK	2	2	OK	2	2	OK	0	0	NA	0	0	NA	1	1	OK	1	1	OK	0	0	NA	1	1	OK	0	0	NA	1	1	OK	
24	For each stadium, how many concerts play there?	SELECT stadium.Name, Count(*) FROM stadium JOIN concert GROUP BY stadium.Stadium_ID	SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id	medium	OK	2	2	OK	2	2	OK	0	0	NA	0	0	NA	1	1	OK	1	1	OK	0	0	NA	1	1	OK	0	0	NA	1	1	OK	
25	Show the stadium name and capacity with most number of concerts in year 2014 or after.	SELECT stadium.Name, stadium.Capacity FROM concert JOIN stadium WHERE concert.Year >= 'terminal' GROUP BY concert.Stadium_ID ORDER BY Count(*) Desc LIMIT 1	SELECT T2.name ,  T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  >=  2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1	extra	OK	2	2	OK	2	2	OK	1	1	OK	1	1	OK	1	1	OK	1	1	OK	1	1	OK	1	1	OK	0	0	NA	5	5	OK	
26	What is the name and capacity of the stadium with the most concerts after 2013 ?	SELECT stadium.Name, stadium.Capacity FROM stadium JOIN concert WHERE concert.Year > 'terminal' GROUP BY stadium.Stadium_ID ORDER BY Count(*) Desc LIMIT 1	select t2.name ,  t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  >  2013 group by t2.stadium_id order by count(*) desc limit 1	extra	OK	2	2	OK	2	2	OK	1	1	OK	1	1	OK	1	1	OK	1	1	OK	1	1	OK	1	1	OK	0	0	NA	5	5	OK	
27	Which year has most number of concerts?	SELECT concert.Year FROM concert GROUP BY concert.Year ORDER BY Count(*) Desc LIMIT 1	SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1	hard	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	1	1	OK	1	1	OK	1	1	OK	1	1	OK	0	0	NA	4	4	OK	
28	What is the year that had the most concerts?	SELECT concert.Year FROM concert GROUP BY concert.Year ORDER BY Count(*) Desc LIMIT 1	SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1	hard	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	1	1	OK	1	1	OK	1	1	OK	1	1	OK	0	0	NA	4	4	OK	
29	Show the stadium names without any concert.	SELECT stadium.Name FROM stadium WHERE stadium.Stadium_ID NOT IN (SELECT concert.Stadium_ID FROM concert)	SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert)	hard	OK	1	1	OK	1	1	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	3	3	OK	
30	What are the names of the stadiums without any concerts?	SELECT stadium.Name FROM stadium WHERE stadium.Stadium_ID NOT IN (SELECT concert.Stadium_ID FROM concert)	SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert)	hard	OK	1	1	OK	1	1	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	3	3	OK	
31	Show countries where a singer above age 40 and a singer below 30 are from.	SELECT singer.Country FROM singer WHERE singer.Age > 'terminal' INTERSECT SELECT singer.Country FROM singer WHERE singer.Age < 'terminal'	SELECT country FROM singer WHERE age  >  40 INTERSECT SELECT country FROM singer WHERE age  <  30	hard	OK	1	1	OK	1	1	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	1	1	OK	2	2	OK	
32	Show names for all stadiums except for stadiums having a concert in year 2014.	SELECT stadium.Name FROM stadium EXCEPT SELECT stadium.Name FROM stadium JOIN concert WHERE concert.Year = 'terminal'	SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014	hard	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	0	0	NA	0	0	NA	1	1	OK	1	1	OK	1	1	OK	
33	What are the names of all stadiums that did not have a concert in 2014?	SELECT stadium.Name FROM stadium EXCEPT SELECT stadium.Name FROM stadium JOIN concert WHERE concert.Year = 'terminal'	SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014	hard	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	0	0	NA	0	0	NA	1	1	OK	1	1	OK	1	1	OK	
34	Show the name and theme for all concerts and the number of singers in each concert.	SELECT concert.concert_Name, concert.Theme, Count(*) FROM concert JOIN singer_in_concert GROUP BY concert.concert_ID	SELECT T2.concert_name ,  T2.theme ,  count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T2.concert_id	medium	OK	3	3	OK	3	3	OK	0	0	NA	0	0	NA	1	1	OK	1	1	OK	0	0	NA	1	1	OK	0	0	NA	1	1	OK	
35	What are the names , themes , and number of singers for every concert ?	SELECT concert.concert_Name, concert.Theme, Count(*) FROM concert JOIN singer_in_concert GROUP BY concert.concert_Name	select t2.concert_name ,  t2.theme ,  count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id  =  t2.concert_id group by t2.concert_id	medium	NOK	3	3	OK	3	3	OK	0	0	NA	0	0	NA	1	1	NOK	1	1	NOK	0	0	NA	1	1	OK	0	0	NA	1	1	OK	
36	List singer names and number of concerts for each singer.	SELECT singer.Name, Count(*) FROM singer_in_concert JOIN singer GROUP BY singer_in_concert.Singer_ID	SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id	medium	OK	2	2	OK	2	2	OK	0	0	NA	0	0	NA	1	1	OK	1	1	OK	0	0	NA	1	1	OK	0	0	NA	1	1	OK	
37	What are the names of the singers and number of concerts for each person?	SELECT singer.Name, Count(*) FROM singer_in_concert JOIN singer GROUP BY singer_in_concert.Singer_ID	SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id	medium	OK	2	2	OK	2	2	OK	0	0	NA	0	0	NA	1	1	OK	1	1	OK	0	0	NA	1	1	OK	0	0	NA	1	1	OK	
38	List all singer names in concerts in year 2014.	SELECT singer.Name FROM singer_in_concert JOIN concert JOIN singer WHERE concert.Year = 'terminal'	SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014	hard	OK	1	1	OK	1	1	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	1	1	OK	
39	What are the names of the singers who performed in a concert in 2014?	SELECT singer.Name FROM singer_in_concert JOIN concert JOIN singer WHERE concert.Year = 'terminal'	SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014	hard	OK	1	1	OK	1	1	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	1	1	OK	
40	what is the name and nation of the singer who have a song having 'Hey' in its name?	SELECT singer.Name, singer.Country FROM singer WHERE singer.Song_Name LIKE 'terminal'	SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'	medium	OK	2	2	OK	2	2	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	2	2	OK	
41	What is the name and country of origin of every singer who has a song with the word 'Hey' in its title?	SELECT singer.Name, singer.Country FROM singer WHERE singer.Song_Name LIKE 'terminal'	SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'	medium	OK	2	2	OK	2	2	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	2	2	OK	
42	Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015.	SELECT stadium.Name, stadium.Location FROM stadium JOIN concert WHERE concert.Year = 'terminal' INTERSECT SELECT stadium.Name, stadium.Location FROM stadium JOIN concert WHERE concert.Year = 'terminal'	SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015	extra	OK	2	2	OK	2	2	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	1	1	OK	2	2	OK	
43	What are the names and locations of the stadiums that had concerts that occurred in both 2014 and 2015?	SELECT stadium.Name, stadium.Location FROM stadium JOIN concert WHERE concert.Year = 'terminal' INTERSECT SELECT stadium.Name, stadium.Location FROM stadium JOIN concert WHERE concert.Year = 'terminal'	SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015	extra	OK	2	2	OK	2	2	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	1	1	OK	2	2	OK	
44	Find the number of concerts happened in the stadium with the highest capacity .	SELECT Count(*) FROM concert JOIN stadium ORDER BY stadium.Capacity Desc LIMIT 1	select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1)	hard	NOK	1	1	OK	1	1	OK	1	0	ND	1	0	ND	0	0	NA	0	0	NA	0	1	NA	1	1	OK	0	0	NA	1	3	NOK	
45	What are the number of concerts that occurred in the stadium with the largest capacity ?	SELECT Count(*) FROM concert JOIN stadium ORDER BY stadium.Capacity Desc LIMIT 1	select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1)	hard	NOK	1	1	OK	1	1	OK	1	0	ND	1	0	ND	0	0	NA	0	0	NA	0	1	NA	1	1	OK	0	0	NA	1	3	NOK	
46	Find the number of pets whose weight is heavier than 10.	SELECT Count(*) FROM Pets WHERE Pets.weight > 'terminal'	SELECT count(*) FROM pets WHERE weight  >  10	easy	OK	1	1	OK	1	1	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	1	1	OK	
47	How many pets have a greater weight than 10?	SELECT Count(*) FROM Pets WHERE Pets.weight > 'terminal'	SELECT count(*) FROM pets WHERE weight  >  10	easy	OK	1	1	OK	1	1	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	1	1	OK	
48	Find the weight of the youngest dog.	SELECT Pets.weight FROM Pets WHERE Pets.PetType = 'terminal' ORDER BY Pets.pet_age Asc LIMIT 1	SELECT weight FROM pets ORDER BY pet_age LIMIT 1	medium	NOK	1	1	OK	1	1	OK	0	1	NA	0	1	NA	0	0	NA	0	0	NA	1	1	OK	1	1	OK	0	0	NA	3	4	NOK	
49	How much does the youngest dog weigh?	SELECT Pets.weight FROM Pets WHERE Pets.PetType = 'terminal' ORDER BY Pets.pet_age Asc LIMIT 1	SELECT weight FROM pets ORDER BY pet_age LIMIT 1	medium	NOK	1	1	OK	1	1	OK	0	1	NA	0	1	NA	0	0	NA	0	0	NA	1	1	OK	1	1	OK	0	0	NA	3	4	NOK	
50	Find the maximum weight for each type of pet. List the maximum weight and pet type.	SELECT Max(Pets.weight), Pets.PetType FROM Pets GROUP BY Pets.PetType	SELECT max(weight) ,  petType FROM pets GROUP BY petType	medium	OK	2	2	OK	2	2	OK	0	0	NA	0	0	NA	1	1	OK	1	1	OK	0	0	NA	1	1	OK	0	0	NA	1	1	OK	
51	List the maximum weight and type for each type of pet.	SELECT Max(Pets.weight), Pets.PetType FROM Pets GROUP BY Pets.PetType	SELECT max(weight) ,  petType FROM pets GROUP BY petType	medium	OK	2	2	OK	2	2	OK	0	0	NA	0	0	NA	1	1	OK	1	1	OK	0	0	NA	1	1	OK	0	0	NA	1	1	OK	
52	Find number of pets owned by students who are older than 20.	SELECT Count(*) FROM Has_Pet JOIN Pets JOIN Student WHERE Student.Age > 'terminal'	SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.age  >  20	medium	NOK	1	1	OK	1	1	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	1	1	OK	
53	How many pets are owned by students that have an age greater than 20?	SELECT Count(DISTINCT Has_Pet.PetID) FROM Has_Pet JOIN Student WHERE Student.Age > 'terminal'	SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.age  >  20	medium	NOK	1	1	NOK	1	1	NOK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	1	1	OK	
54	Find the number of dog pets that are raised by female students (with sex F).	SELECT Count(*) FROM Has_Pet JOIN Pets JOIN Student WHERE Student.Sex = 'terminal' AND Pets.PetType = 'terminal'	SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T2.petid  =  T3.petid WHERE T1.sex  =  'F' AND T3.pettype  =  'dog'	hard	OK	1	1	OK	1	1	OK	2	2	OK	2	2	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	1	1	OK	
55	How many dog pets are raised by female students?	SELECT Count(*) FROM Has_Pet JOIN Pets JOIN Student WHERE Student.Sex = 'terminal' AND Pets.PetType = 'terminal'	SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T2.petid  =  T3.petid WHERE T1.sex  =  'F' AND T3.pettype  =  'dog'	hard	OK	1	1	OK	1	1	OK	2	2	OK	2	2	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	1	1	OK	
56	Find the number of distinct type of pets.	SELECT Count(DISTINCT Pets.PetType) FROM Pets	SELECT count(DISTINCT pettype) FROM pets	easy	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	0	0	NA	
57	How many different types of pet are there?	SELECT Count(DISTINCT Pets.PetType) FROM Pets	SELECT count(DISTINCT pettype) FROM pets	easy	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	0	0	NA	
58	Find the first name of students who have cat or dog pet.	SELECT Student.Fname FROM Pets JOIN Student WHERE Pets.PetType = 'terminal' OR Pets.PetType = 'terminal'	SELECT DISTINCT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' OR T3.pettype  =  'dog'	extra	NOK	1	1	OK	1	1	OK	2	2	OK	2	2	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	2	2	OK	
59	What are the first names of every student who has a cat or dog as a pet?	SELECT Student.Fname FROM Student JOIN Has_Pet JOIN Pets WHERE Pets.PetType = 'terminal' OR Pets.PetType = 'terminal'	SELECT DISTINCT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' OR T3.pettype  =  'dog'	extra	OK	1	1	OK	1	1	OK	2	2	OK	2	2	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	2	2	OK	
60	Find the first name of students who have both cat and dog pets .	SELECT Student.Fname FROM Student JOIN Has_Pet WHERE Pets.PetType = 'terminal' INTERSECT SELECT Student.Fname FROM Student JOIN Has_Pet WHERE Pets.PetType = 'terminal'	select t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'cat' intersect select t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'dog'	extra	NOK	1	1	OK	1	1	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	1	1	NOK	2	2	OK	
61	What are the students' first names who have both cats and dogs as pets?	SELECT Student.Fname FROM Student JOIN Has_Pet JOIN Pets WHERE Pets.PetType = 'terminal' INTERSECT SELECT Student.Fname FROM Student JOIN Has_Pet JOIN Pets WHERE Pets.PetType = 'terminal'	SELECT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' INTERSECT SELECT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog'	extra	OK	1	1	OK	1	1	OK	1	1	OK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	1	1	OK	2	2	OK	
62	Find the major and age of students who do not have a cat pet.	SELECT Student.Major, Student.Age FROM Student WHERE Student.StuID NOT IN (SELECT Has_Pet.StuID FROM Has_Pet JOIN Pets WHERE Pets.PetType = 'terminal')	SELECT major ,  age FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')	extra	NOK	2	2	OK	2	2	OK	1	1	NOK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	3	3	OK	
63	What major is every student who does not own a cat as a pet, and also how old are they?	SELECT Student.Major, Student.Age FROM Student WHERE Student.StuID NOT IN (SELECT Has_Pet.StuID FROM Has_Pet JOIN Pets WHERE Pets.PetType = 'terminal')	SELECT major ,  age FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')	extra	NOK	2	2	OK	2	2	OK	1	1	NOK	1	1	OK	0	0	NA	0	0	NA	0	0	NA	1	1	OK	0	0	NA	3	3	OK	
