idsql	idgroup	selectionpt	sql	selectionen
2699	30	Selecionar por caso prazo que foi apresentado a solução.	select DataInicial, DataFinal, DataInicial-DataFinal, CONCAT(FLOOR(HOUR(TIMEDIFF(DataInicial, DataFinal)) / 24), ' days ', MOD(HOUR(TIMEDIFF(DataInicial, DataFinal)), 24), ' hours ', MINUTE(TIMEDIFF(DataInicial, DataFinal)), ' minutes') AS TEMPO from ( select min(CAST(T0.startdatetime as datetime)) AS DataInicial, max(CAST(T0.startdatetime as datetime)) AS DataFinal, idcase from volvo AS T0 group by idcase) AS T1	Select by case term that the solution was presented.
2700	30	Selecionar por caso prazo que foi apresentado a solução.	select DataInicial, DataFinal, DataInicial-DataFinal, CONCAT(FLOOR(HOUR(TIMEDIFF(DataInicial, DataFinal)) / 24), ' days ', MOD(HOUR(TIMEDIFF(DataInicial, DataFinal)), 24), ' hours ', MINUTE(TIMEDIFF(DataInicial, DataFinal)), ' minutes') AS TEMPO from ( select min(CAST(T0.startdatetime as datetime)) AS DataInicial, max(CAST(T0.startdatetime as datetime)) AS DataFinal, idcase from volvo AS T0 group by idcase) AS T1	Select by case term that the solution was presented.
2701	39	Seleciona pro caso o tempo de duração em horas.	SELECT idcase, DataInicial, DataFinal, TIMESTAMPDIFF(HOUR, DataInicial, DataFinal) AS Horas FROM (SELECT min(CAST(T0.enddatetime as datetime)) AS DataInicial, max(CAST(T0.enddatetime as datetime)) AS DataFinal, idcase FROM academia AS T0 GROUP BY idcase) AS T1	Select the duration in hours for the case.
2702	39	Seleciona pro caso o tempo de duração em horas.	SELECT idcase, DataInicial, DataFinal, TIMESTAMPDIFF(HOUR, DataInicial, DataFinal) AS Horas FROM (SELECT min(CAST(T0.enddatetime as datetime)) AS DataInicial, max(CAST(T0.enddatetime as datetime)) AS DataFinal, idcase FROM academia AS T0 GROUP BY idcase) AS T1	Select the duration in hours for the case.
2703	34	Recuperar dados por agrupados por Caso e Recurso ordenado por ambos com o tempo de duração na responsabilidade de cada recurso.	SELECT idcase, resource1, DataInicial, DataFinal, FLOOR((TIMESTAMPDIFF(HOUR, DataInicial, DataFinal)/24)) AS Dias FROM (SELECT min(CAST(T0.enddatetime as datetime)) AS DataInicial, max(CAST(T0.enddatetime as datetime)) AS DataFinal, idcase, resource1 FROM prefeitura AS T0 GROUP BY idcase, resource1) AS T1 ORDER BY idcase	Retrieve data by grouped by Case and Resource ordered by both with the duration time in the responsibility of each resource.
2704	34	Retrieves the value released for each case.	SELECT DISTINCT idcase AS Caso, costevent AS Valor FROM prefeitura order by idcase	Retrieves the value released for each case.
2705	16	Selecionado horas que foi gasto por cada caso.	SELECT v3.idcase, TIMESTAMPDIFF(HOUR, DataInicial, DataFinal) AS Horas FROM (SELECT min(CAST(v2.startdatetime as datetime)) AS DataInicial, max(CAST(v2.startdatetime as datetime)) AS DataFinal, v2.idcase FROM volvo AS v2 GROUP BY v2.idcase) AS v3	Selected hours that was spent per case.
2750	15	Busque todas as com a descrição _SUBMITTED-COMPLETE	SELECT * FROM log3_excerpt15 WHERE activity LIKE '%A_S'	Fetch all activities with A_SUBMITTED-COMPLETE description.
2706	3	Contar quantidade de casos distintos que tem o último status dentro o período de março de 2016 e maio de 2016 e não foi resolvido ou fechado	SELECT count(DISTINCT t. idcase) FROM tabela t INNER JOIN ( SELECT idcase , max(enddatetime) as enddatetime FROM tabela GROUP BY 1 )q ON t,idcase = q.idcase AND t,enddatetime = q.enddatetime WHERE 1=1 AND to_date(enddatetime, 'YYYYMMDD') BETWEEN '2016-03-01` AND '2016-05-31' AND activity NOT IN ('Resolved', 'Closed ')	Count number of distinct cases that have the last status within the period of March 2016 and May 2016 and have not been resolved or closed
2707	3	Contar a quantidade de casos distintos por idgroup	SELECT idgroup , count(DISTINCT idcase) FROM tabela GROUP BY 1	Count the number of distinct cases per idgroup
2708	22	Selecionar a mediana de dias entre o começo da primeira tarefa feita e da última tarefa feita	SELECT MEDIAN(qtd_dias) FROM( SELECT idcase , max(to_date(startdatetime, 'YYYYMMDD')) AS max_date , min(to_date(startdatetime, 'YYYYMMDD')) AS min_date , max_date-min_date AS qtd_dias FROM tabela GROUP BY 1 )	Select the median of days between the start of the first task done and the last task done
2709	22	Selecionar os recursos que tiveram pelo menos 100 eventos feitos por ordem decrescente de quantidade de eventos realizados	SELECT resource , count(*) as contagem FROM tabela GROUP BY 1 HAVING contagem >= 100 ORDER BY 1 DESC	Select the resources that had at least 100 events made in descending order of number of events performed
2710	4	selecionar a contagem de eventos sem data de finalização	SELECT count(*) FROM tabela WHERE enddatetime IS NULL	select event count with no end date
2711	4	Ordernar os grupos por quantidade de recursos distintos de forma decrescente	select idgroup , count(DISTINCT resource) as resources from tabela ORDER BY 2 DESC	order the groups by number of different resources in descending order
2712	17	Selecionar todos os cases e eventos ordenados por número do caso e data do início da execução	SELECT idcase , idevent , startdatetime FROM tabela ORDER BY idcase, startdatetime	Select all cases and events sorted by case number and execution start date
2713	21	Total de atividades encerradas por recurso.	SELECT resource,count(idevent) FROM log_numero5 WHERE activity = "Closed" GROUP BY resource	Total activities closed by resource.
2714	21	Total por atividade realizadas pelo recurso Minnie em 2010.	SELECT activity,count(idevent) FROM log_numero5 WHERE resource = "Minnie" AND startdatetime BETWEEN '2010-01-01' AND '2010-12-31' GROUP BY activity	Total by activity performed by the Minnie resource in 2010.
2715	12	Data mais recente da realização de cada atividade.	SELECT activity,max(enddatetime) FROM log_numero3 GROUP BY activity	Most recent date of each activity.
2716	12	Contagem de requisições com informação de custo do evento	SELECT count(idevent) FROM log_numero3 WHERE costevent IS NOT NULL	Counting requests with event cost information
2717	4	Contagem de atividade resolvidas em 2020 e novas em 2021	SELECT activity,count(idevent) FROM log_numero1 WHERE activity = 'Resolved' AND enddatetime BETWEEN '2020-01-01' AND '2020-12-31' GROUP BY activity UNION SELECT activity,count(idevent) FROM log_numero1 WHERE activity = 'New' AND enddatetime > '2020-12-31' GROUP BY activity	Count of activities resolved in 2020 and new in 2021
2718	4	Tabela de atividade, data de término e id do evento ordenado pela data de término	SELECT activity,enddatetime,idevent FROM log_numero1 ORDER BY enddatetime	Activity table, end date and event id sorted by end date
2719	20	Total de atividades em progresso do Joakim	SELECT activity,count(idevent) FROM log_numero4 WHERE resource = 'Joakim' AND activity = 'In Progress' GROUP BY activity	Joakim's total activities in progress
2720	20	Contagem de eventos do recurso Priscila na qual a informação de custo está disponível	SELECT resource,count(idevent) FROM log_numero4 WHERE resource = 'Priscila' AND costevent IS NOT NULL GROUP BY resource	Priscilla resource event count in which cost information is available
2721	15	quantos resources atuam em um case que contém mais de 3 events?	select idcase, count(distinct idevent) as qtn_events, count(distinct resource) as qnt_resources from log3_excerpt15 group by idcase having count(distinct idevent) > 3	how many resources work on a case that contains more than 3 events?
2722	15	quais resources são responsáveis pela atividade de declined?	select DISTINCT resource from log3_excerpt15 where activity in ( select activity from log3_excerpt15 where activity like '%DECLINED%' )	which resources are responsible for the declined activity?
2723	28	quantos casos fechados existem no log de eventos entre os meses 01 e 05 de 2012	select count(*) as closed_cases from log6_excerpt28 where startdatetime between '2012-01-01' and '2012-05-30' and activity = 'Closed'	how many closed cases are there in the event log between the 1st and 5th of 2012
2724	28	quais cases o resource Hineesh trabalhou, menos os cases que ocorrem em janeiro	select * from log6_excerpt28 where resource = 'Hineesh' except select * from log6_excerpt28 where startdatetime between '2012-01-01' and '2012-02-01'	which cases resource Hineesh worked, except the cases that occur in January
2725	29	casos que contém mais de 3 atividades	select idcase, count(idevent) as qtn_events from log6_excerpt29 GROUP BY idcase HAVING COUNT(idevent) > 3	cases containing more than 3 activities
2726	29	tempo total aproximado para cada case	select idcase, max(startdatetime) as max_start_date, min(startdatetime) as min_start_date, max(startdatetime) - min(startdatetime) as total_time from log6_excerpt29 group by idcase	approximate total time for each case
2727	24	consulta que retorna a média do tempo total aproximado para completar um case e o tempo mínimo e tempo máximo de completude.	select avg(total_time) as avg_total_time, min(total_time) as min_total_time, max(total_time) as max_total_time from ( select idcase, max(startdatetime) - min(startdatetime) as total_time from log5_excerpt24 group by idcase ) as f	query that returns the average of the approximate total time to complete a case and the minimum time and maximum time to complete it.
2728	24	consulta que retorna o tempo total aproximado para completar os cases que terminam em CLOSED.	SELECT F.idcase, C.total_time, F.activity FROM ( select idcase, max(startdatetime) - min(startdatetime) as total_time from log5_excerpt24 group by idcase ) AS C INNER JOIN log5_excerpt24 AS F ON C.idcase = F.idcase where activity = 'Closed'	query that returns the approximate total time to complete cases that end in CLOSED.
2729	36	Quais declarações tem eventos depois da viagem ter acabado	SELECT idcase FROM trip_events WHERE activity = 'Start Trip' INTERSECT SELECT idcase FROM trip_events WHERE activity = 'End Trip'	What declaration already have events after the trip has ended
2730	36	Quais declarações tem eventos depois da viagem ter acabado	SELECT idcase FROM trip_events WHERE activity = 'Start Trip' INTERSECT SELECT idcase FROM trip_events WHERE activity = 'End Trip'	What declaration already have events after the trip has ended
2731	20	Contar quantos incidentes estão "Em Progresso"	SELECT idcase, COUNT(idcase) FROM incidents WHERE activity = 'In Progress'	Count how many incidents are In Progress
2732	20	Encontrar os recursos que estão esperando atribuição, com exceção daqueles que já tem incidente em progresso	SELECT resource FROM incident_events WHERE activity = 'Awaiting Assignement' EXCEPT SELECT resource FROM incident_events WHERE activity = 'In Progress'	Find the resources that are Awaiting Assignement, except the ones that already have an incident in progress
2733	30	Em média, quantas vezes um processo passou pela atividade "In Progress"?	SELECT AVG(Count) FROM( SELECT COUNT (*) AS Count FROM log6_excerpt30 WHERE activity = 'In Progress' GROUP BY idcase) as counts	On average, how many times has a process gone through the "In Progress" activity?
2734	30	Quais casos tiveram o mesmo recurso alocado para todas as suas atividades? Quem era o recurso?	SELECT DISTINCT t.idcase,t.resource FROM log6_excerpt30 t WHERE resource = ALL (SELECT resource FROM log6_excerpt30 WHERE idcase = t.idcase);	Which cases had the same resource allocated for all their activities? Who was the resource?
2735	23	Quais casos chegaram na atividade 'Closed' entre 2011 e 2012?	SELECT * FROM log5_excerpt23 WHERE activity = 'Closed' AND startdatetime BETWEEN '2011-01-01 00:00:00' AND '2012-12-31 23:59:59';	Which cases got in the 'Closed' activity between 2011 and 2012?
2736	23	Listar todos os logs de atividades relacionadas a atribuição ("assign" no nome)	SELECT * FROM log5_excerpt23 WHERE activity LIKE '%assign%' OR activity LIKE '%Assign%'	List all assignment ("assign" in the name) related activities in the log
2737	37	Listar os custos mínimos e máximos registrados para cada caso que teve custo máximo válido preenchido para reembolso	SELECT idcase,MIN(costevent),MAX(costevent) FROM log8_excerpt37 GROUP BY idcase HAVING MAX(costevent) > 0	List the minimum and maximum costs recorded for each case that had a valid maximum cost filled in for reimbursement
2738	37	Mostrar quanto tempo levou desde o primeiro evento de um caso até o evento referente ao final da viagem ('End trip') e até possíveis atividades finais de rejeição ('Declaration REJECTED by EMPLOYEE') ou de pagamento entregue ('Payment Handled')	SELECT INI.idcase, FIM.activity, FIM.enddatetime - INI.enddatetime AS elapsedtime FROM log8_excerpt37 INI, log8_excerpt37 FIM WHERE INI.idevent <> FIM.idevent AND INI.idcase = FIM.idcase AND FIM.activity IN ('Declaration REJECTED by EMPLOYEE', 'Payment Handled', 'End trip') AND INI.enddatetime = (SELECT MIN(enddatetime) FROM log8_excerpt37 WHERE idcase = INI.idcase)	Show how long it took from the first event of a case to the event referring to the end of the trip ('End trip') and to possible final rejection activities ('Declaration REJECTED by EMPLOYEE') or payment delivered ('Payment Handled')
2739	34	Há alguma atividade com timestamp inferior a alguma atividade anteriormente no log para o mesmo caso? Se sim, qual atividade e em qual caso ocorreu?	SELECT t.idcase,t.activity FROM log7_excerpt34 t WHERE enddatetime < ANY (SELECT enddatetime FROM log7_excerpt34 WHERE idcase = t.idcase AND idevent < t.idevent);	Are there any activities with timestamp lower than any activity previously in the log for the same case? If yes, what activity and in which case did it take place?
2740	34	Mostrar atividades executadas no primeiro caso do log, mas não no último e mostrar atividades executadas no último caso do log, mas não no primeiro.	(SELECT 'FIRST' AS firstorlast,activity FROM log7_excerpt34 WHERE idcase = (SELECT MIN(idcase) FROM log7_excerpt34) EXCEPT SELECT 'FIRST' AS firstorlast,activity FROM log7_excerpt34 WHERE idcase = (SELECT MAX(idcase) FROM log7_excerpt34)) UNION (SELECT 'LAST' AS firstorlast,activity FROM log7_excerpt34 WHERE idcase = (SELECT MAX(idcase) FROM log7_excerpt34) EXCEPT SELECT 'LAST' AS firstorlast,activity FROM log7_excerpt34 WHERE idcase = (SELECT MIN(idcase) FROM log7_excerpt34)) ORDER BY firstorlast	Show activities performed in the first case in the log, but not performed in the last case, and show activities performed in the last case in the log, but not performed in the first.
2741	27	Há algum registro de atividade 'Closed' no log? Se sim, mostrar dados do evento.	SELECT * FROM log6_excerpt27 WHERE activity IN ('Closed')	Are there any records of 'Closed' activity in the log? If yes, show event data.
2742	27	Quantas vezes no mínimo, no máximo e em média os casos passaram pela atividade 'Awaiting Assignment'?	SELECT MIN(Count),MAX(Count),AVG(Count) FROM( SELECT COUNT ('Awaiting Assignment') AS Count FROM log6_excerpt27 GROUP BY idcase ) as counts	How many times, at least, at most and on average, have the cases gone through the 'Awaiting Assignment' activity?
2743	40	Qual o tempo de duração médio de cada tipo de atividade?	SELECT ACTIVITY, AVG(DURATION) FROM (SELECT LOG1.ACTIVITY, LOG1.ENDDATETIME - LOG2.ENDDATETIME AS DURATION FROM PUBLIC.LOG8_EXCERPT40 LOG1 JOIN PUBLIC.LOG8_EXCERPT40 LOG2 ON LOG1.IDCASE = LOG2.IDCASE AND LOG1.IDEVENT = LOG2.IDEVENT + 1) AS ACTIVITY_DURATIONS GROUP BY ACTIVITY;	What is the average duration of each type of activity?
2744	40	Qual o caso com maior custo?	SELECT DISTINCT IDCASE, COSTEVENT FROM PUBLIC.LOG8_EXCERPT40 WHERE COSTEVENT = (SELECT MAX(COSTEVENT) FROM PUBLIC.LOG8_EXCERPT40);	Which case has the highest cost?
2745	37	Quais atividades existem com status 'Start trip'?	select * from public.log8_excerpt40 where activity like 'Start trip'	What activities exist with 'Start trip' status?
2746	37	Qual total de registros por atividades?	select activity, count(*) from public.log8_excerpt40 group by activity	What total records by activities?
2747	9	Quais as atividades que possuem o 'costevent' nulo ?	select activity from public.log2_excerpt9 where costevent is null	Which activities have the 'costevent' null?
2748	9	Qual o custo de cada registro de atividade ordenado pelo costevent?	select costevent , activity from public.log2_excerpt9 order by costevent;	What is the cost of each activity record ordered by costevent?
2751	15	Há valores nulos na coluna idcase?	SELECT * FROM log3_excerpt15 WHERE idcase IS NULL;	Is there Null values on idcase column?
2752	35	Qual a quantidade de registros que possuem como atividade 'send confirmation receipt'?	select count(*) FROM log7_excerpt35 WHERE activity IN ('send confirmation receipt')	How many records do they have as a 'send confirmation receipt' activity?
2753	40	Qual o maior valor de custo de evento entre todas as atividades apresentadas no log?	SELECT MAX(costevent) AS MaxCost FROM log8_excerpt40;	What is the highest event cost value among all activities presented in the log?
2754	21	Quais são os casos em que tanto Carrie quanto Tomas participam?	SELECT idcase FROM public.log5 WHERE resource = 'Carrie' INTERSECT SELECT idcase FROM public.log5 WHERE resource = 'Tomas';	What are the cases in which both Carrie and Tomas take part?
2755	21	Quantos casos foram fechados por Minnie ou Carrie em 2011?	SELECT count(idcase) FROM public.log5_excerpt21 WHERE activity = 'Closed' AND resource IN ('Minni', 'Carrie');	How many cases were closed by Minnie or Carrie in 2011?
2756	9	Quantas atividades marcadas com 'decisão' temos repetidamente para cada recurso disponível?	SELECT COUNT(*), activity, resource FROM log2_excerpt9 WHERE activity='decisao' Group by activity, resource	How much activities labeled with 'decisão' do we have repeatedly for each resource available?
2757	9	Qual é o total de costevent para o recurso "TVMF77077810579481"?	SELECT SUM(costevent) FROM log2_excerpt9 Where resource='TVMF77077810579481'	What is the total of costevent for "TVMF77077810579481" resource?
2758	38	Qual a média de Custo do Evento para atividades diferentes de "Start trip" e "End trip"?	SELECT AVG(costevent) FROM public.log8_excerpt38 WHERE activity NOT IN ("Start trip", "End trip");	What is the average Event Cost for activities different from "Start trip" and "End trip"?
2759	38	Quais os 5 eventos de maior custo?	SELECT TOP 5 * FROM public.log8_excerpt38 ORDER BY costevent DESC;	What are the 5 highest cost events?
2760	11	Existe registro duplicado na base?	SELECT idcase COUNT(*) FROM idcase GROUP BY idcase HAVING COUNT(*) > 1;	Is there a duplicate record in the database?
2761	11	Quais os registros que ocorrem nas datas "2011-10-01" e "2011-10-02"?	SELECT * FROM public.log8_excerpt38 WHERE enddatetime IN ("2011-10-01", "2011-10-02");	What records occur on the dates "2011-10-01" and "2011-10-02"?
2762	13	Quais os casos que não apresentam recurso?	SELECT idcase FROM public.log8_excerpt38 WHERE resource IS NULL;	Which cases do not have an Resource?
2763	13	Qual a quantidade de casos por atividade finalizados entre ‘2011-12-01’ e ‘2011-12-05’?	SELECT activity, COUNT(idcase) FROM public.log3_excerpt13 GROUP BY activity WHERE enddatetime BETWEEN ‘2011-12-01’ AND ‘2011-12-05’;	How many cases per activity were completed between '2011-12-01' and '2011-12-05'?
2764	18	Quais registros de Recursos que iniciam com a letra "M"?	SELECT * FROM public.log4_excerpt18 WHERE resource LIKE 'M%';	Which Resource records start with the letter "M"?
2765	18	Qual a média de dias decorridos desde o início do processo para cada Recurso? Separar em 5 grupos de acordo com os dias de corridos.	SELECT resource, COUNT(idcase), AVG(DATEDIFF('2022-01-06', startdatetime)) AS MEDIA_DIAS, CASE WHEN AVG(DATEDIFF('2022-01-06', startdatetime)) <= 30 THEN '< 30 dias' WHEN AVG(DATEDIFF('2022-01-06', startdatetime)) > 30 AND DATEDIFF('2022-01-06', startdatetime) <= 90 THEN '31-90 dias' WHEN AVG(DATEDIFF('2022-01-06', startdatetime)) > 90 AND DATEDIFF('2022-01-06', startdatetime) <= 180 THEN '91-180 dias' WHEN AVG(DATEDIFF('2022-01-06', startdatetime)) > 180 AND DATEDIFF('2022-01-06', startdatetime) <= 365 THEN '181-365 dias' ELSE '> 365 dias' END AS PERIODO_DIAS FROM public.log4_excerpt18 GROUP BY resource;	What is the average number of days elapsed since the beginning of the process for each Resource? Divide into 5 groups according to elapsed days.
2766	1	Quais as atividades com mais de 5 registros?	SELECT activity, COUNT(idcase) AS Contador FROM public.log1_excerpt1 GROUP BY activity HAVING COUNT(idcase) > 5;	What activities have more than 5 records?
2767	19	Quantas vezes Siebel, como recurso, foi utilizado ?	from GERENCIAMENTO DE INCIDENTES - VOLVO where resource = "Siebel" count (resource)	How many times Siebel, as resource, was used ?
2768	19	Quantas vezes Siebel, como recurso, foi utilizado ?	from GERENCIAMENTO DE INCIDENTES - VOLVO where resource = "Siebel" count (resource)	How many times Siebel, as resource, was used ?
2769	39	Quantos eventos ocorreram para o case "declaration 56300" ?	select * from AUTORIZAÇÃO OU REEMBOLSO PARA VIAGEM ACADÊMICA where 'declaration 56300' in (idcase) count (idevent)	How many events has the case "declaration 56300"
2770	3	Quais casos ainda estão ativos, ordenados por enddatetime?	SELECT * FROM log_table WHERE activity = "Active" ORDER BY enddatetime ASC;	Which cases are still active, ordered by the enddatetime?
